128 Forest; replaced with Forest
1000 Cavern of Souls; replaced with Cavern of Souls
94 Admiral Beckett Brass; replaced with Admiral Beckett Brass
737 Beast Within; replaced with Beast Within
2580 Fellwar Stone; replaced with Fellwar Stone
2546 Mind Stone; replaced with Mind Stone
1312 Legion's Initiative; replaced with Legion's Initiative
2244 Negate; replaced with Negate
2342 Threats Undetected; replaced with Threats Undetected
2865 Temple of Abandon; replaced with Temple of Abandon
306 Sword of the Animist; replaced with Sword of the Animist
203 Solemn Simulacrum; replaced with Solemn Simulacrum
2647 Shambling Vent; replaced with Shambling Vent
3055 Mystic Monastery; replaced with Mystic Monastery
229 Hullbreaker Horror; replaced with Hullbreaker Horror
3216 Urza's Mine; replaced with Urza's Mine
820 Enduring Vitality; replaced with Enduring Vitality
3015 Keeper of the Accord; replaced with Keeper of the Accord
266 Harvest Hand // Scrounged Scythe; replaced with Harvest Hand // Scrounged Scythe
3297 Gutter Grime; replaced with Gutter Grime
2504 Spider-Punk; replaced with Spider-Punk
2961 Romana II; replaced with Romana II
1395 Gluttonous Zombie; replaced with Gluttonous Zombie
894 Chatter of the Squirrel; replaced with Chatter of the Squirrel
3400 Insolent Neonate; replaced with Insolent Neonate
2379 Bastion of Remembrance; replaced with Bastion of Remembrance
139 Arachnus Spinner; replaced with Arachnus Spinner
47 Ugin, the Ineffable; replaced with Ugin, the Ineffable
3397 Urza's Mine; replaced with Urza's Mine
3059 Muldrotha, the Gravetide; replaced with Muldrotha, the Gravetide
2215 Day of Judgment; replaced with Day of Judgment
3248 Charming Prince; replaced with Charming Prince
3276 Temple of Abandon; replaced with Temple of Abandon
828 Sarkhan, Soul Aflame; replaced with Sarkhan, Soul Aflame
860 Fanatical Firebrand; replaced with Fanatical Firebrand
1727 Howling Mine; replaced with Howling Mine
1078 Archon of Valor's Reach; replaced with Archon of Valor's Reach
1352 Rampant Growth; replaced with Rampant Growth
3513 Rakdos Charm; replaced with Rakdos Charm
2859 Thriving Isle; replaced with Thriving Isle
425 Fungusaur; replaced with Fungusaur
1579 Jalum Tome; replaced with Jalum Tome
183 Runic Armasaur; replaced with Runic Armasaur
734 Jegantha, the Wellspring; replaced with Jegantha, the Wellspring
3409 Flametongue Kavu; replaced with Flametongue Kavu
2410 Aragorn, the Uniter; replaced with Aragorn, the Uniter
3214 Meathook Massacre II; replaced with Meathook Massacre II
1728 Ash Barrens; replaced with Ash Barrens
3176 Malevolent Hermit // Benevolent Geist; replaced with Malevolent Hermit // Benevolent Geist
434 Battle at the Bridge; replaced with Battle at the Bridge
3071 Isolated Chapel; replaced with Isolated Chapel
2034 Sazh Katzroy; replaced with Sazh Katzroy
1758 Sandwurm Convergence; replaced with Sandwurm Convergence
2206 Tyvar, Jubilant Brawler; replaced with Tyvar, Jubilant Brawler
3374 Orb of Dragonkind; replaced with Orb of Dragonkind
961 Outpost Siege; replaced with Outpost Siege
3026 Lurking Crocodile; replaced with Lurking Crocodile
226 Hoarding Ogre; replaced with Hoarding Ogre
841 Bojuka Bog; replaced with Bojuka Bog
1962 Psionic Blast; replaced with Psionic Blast
2614 Dreamdew Entrancer; replaced with Dreamdew Entrancer
401 Fortified Village; replaced with Fortified Village
1886 The Fourth Doctor; replaced with The Fourth Doctor
1034 Sulfurous Springs; replaced with Sulfurous Springs
2164 Counterspell; replaced with Counterspell
551 Niv-Mizzet, Parun; replaced with Niv-Mizzet, Parun
441 Benalish Hero; replaced with Benalish Hero
1906 Temple of Deceit; replaced with Temple of Deceit
1582 Circle of Protection: Blue; replaced with Circle of Protection: Blue
1508 Curse of Shaken Faith; replaced with Curse of Shaken Faith
1937 Harmonize; replaced with Harmonize
1130 Lord Skitter's Blessing; replaced with Lord Skitter's Blessing
1972 Recollect; replaced with Recollect
1507 Imoti, Celebrant of Bounty; replaced with Imoti, Celebrant of Bounty
893 Titania's Command; replaced with Titania's Command
2672 Liliana, Dreadhorde General; replaced with Liliana, Dreadhorde General
2296 Najeela, the Blade-Blossom; replaced with Najeela, the Blade-Blossom
121 Zenos yae Galvus // Shinryu, Transcendent Rival; replaced with Zenos yae Galvus // Shinryu, Transcendent Rival
2445 Urborg; replaced with Urborg
943 Everflowing Chalice; replaced with Everflowing Chalice
2151 Chastise; replaced with Chastise
4507 Monk Class; replaced with Monk Class
1984 Angelic Page; replaced with Angelic Page
785 Windswept Heath; replaced with Windswept Heath
1991 Mana Vault; replaced with Mana Vault
2790 Temple of Epiphany; replaced with Temple of Epiphany
3865 Jalum Tome; replaced with Jalum Tome
3390 Consuming Aberration; replaced with Consuming Aberration
2605 Invisible Stalker; replaced with Invisible Stalker
3029 Archfiend of the Dross; replaced with Archfiend of the Dross
4304 Rakdos Joins Up; replaced with Rakdos Joins Up
1552 Goblin Warrens; replaced with Goblin Warrens
320 Yavimaya Granger; replaced with Yavimaya Granger
3518 Revoke Existence; replaced with Revoke Existence
1704 Urza, Chief Artificer; replaced with Urza, Chief Artificer
4340 Hour of Reckoning; replaced with Hour of Reckoning
3716 Dragon's Hoard; replaced with Dragon's Hoard
2235 Sunstreak Phoenix; replaced with Sunstreak Phoenix
3074 Overgrown Tomb; replaced with Overgrown Tomb
4913 Waltz of Rage; replaced with Waltz of Rage
1448 Relentless Assault; replaced with Relentless Assault
1932 Rasaad yn Bashir; replaced with Rasaad yn Bashir
4197 Shatter; replaced with Shatter
2532 Sudden Impact; replaced with Sudden Impact
301 Sol Ring; replaced with Sol Ring
1032 Breya, Etherium Shaper; replaced with Breya, Etherium Shaper
490 Disciple of Bolas; replaced with Disciple of Bolas
1158 Mahamoti Djinn; replaced with Mahamoti Djinn
1017 Temple Garden; replaced with Temple Garden
3192 Noosegraf Mob; replaced with Noosegraf Mob
4755 Fire // Ice; replaced with Fire // Ice
1673 Hollowhenge Scavenger; replaced with Hollowhenge Scavenger
3244 Mystic Remora; replaced with Mystic Remora
3711 Deadly Recluse; replaced with Deadly Recluse
219 Martyrs of Korlis; replaced with Martyrs of Korlis
748 Deluxe Dragster; replaced with Deluxe Dragster
230 Dark Ritual; replaced with Dark Ritual
1144 Victual Sliver; replaced with Victual Sliver
5073 Reverse Polarity; replaced with Reverse Polarity
3063 Leyline of Sanctity; replaced with Leyline of Sanctity
4077 Vadmir, New Blood; replaced with Vadmir, New Blood
5230 Snow-Covered Island; replaced with Snow-Covered Island
4343 Cursed Mirror; replaced with Cursed Mirror
1560 Kytheon, Hero of Akros // Gideon, Battle-Forged; replaced with Kytheon, Hero of Akros // Gideon, Battle-Forged
4606 Platinum Angel; replaced with Platinum Angel
4349 Temple of Deceit; replaced with Temple of Deceit
328 Virtus the Veiled; replaced with Virtus the Veiled
369 Excalibur II; replaced with Excalibur II
4 Loyal Retainers; replaced with Loyal Retainers
4995 Panther Warriors; replaced with Panther Warriors
3126 Tyrite Sanctum; replaced with Tyrite Sanctum
4451 Jhoira, Weatherlight Captain; replaced with Jhoira, Weatherlight Captain
1879 Talisman of Dominance; replaced with Talisman of Dominance
514 Geier Reach Bandit // Vildin-Pack Alpha; replaced with Geier Reach Bandit // Vildin-Pack Alpha
4589 Tranquil Thicket; replaced with Tranquil Thicket
2473 Mogg Fanatic; replaced with Mogg Fanatic
3670 Verdant Force; replaced with Verdant Force
1209 Giant Spider; replaced with Giant Spider
1221 Snow-Covered Forest; replaced with Snow-Covered Forest
55 Dragon Fodder; replaced with Dragon Fodder
4802 Krenko, Tin Street Kingpin; replaced with Krenko, Tin Street Kingpin
338 Birgi, God of Storytelling // Harnfel, Horn of Bounty; replaced with Birgi, God of Storytelling // Harnfel, Horn of Bounty
4836 Thraximundar; replaced with Thraximundar
5755 Temple of Enlightenment; replaced with Temple of Enlightenment
4291 Azorius Signet; replaced with Azorius Signet
1909 Lightning Bolt; replaced with Lightning Bolt
4528 Slippery Karst; replaced with Slippery Karst
2137 Ghostly Pilferer; replaced with Ghostly Pilferer
2448 Ruby Medallion; replaced with Ruby Medallion
5974 Campus Renovation; replaced with Campus Renovation
5372 Merfolk of the Pearl Trident; replaced with Merfolk of the Pearl Trident
5827 Hada Freeblade; replaced with Hada Freeblade
3500 Hinterland Harbor; replaced with Hinterland Harbor
2408 Rootbound Crag; replaced with Rootbound Crag
273 Fiery Islet; replaced with Fiery Islet
6086 Rootbound Crag; replaced with Rootbound Crag
5754 Herald of the Host; replaced with Herald of the Host
4754 Orzhov Signet; replaced with Orzhov Signet
1156 Gemrazer; replaced with Gemrazer
596 Liliana's Mastery; replaced with Liliana's Mastery
3849 Basalt Monolith; replaced with Basalt Monolith
165 Boomerang; replaced with Boomerang
2046 Llanowar Elves; replaced with Llanowar Elves
5222 Thran Portal; replaced with Thran Portal
3352 Ranger's Firebrand; replaced with Ranger's Firebrand
3408 Firemane Avenger; replaced with Firemane Avenger
202 Tower of Fortunes; replaced with Tower of Fortunes
1874 Marble Diamond; replaced with Marble Diamond
5895 Castle Ardenvale; replaced with Castle Ardenvale
1732 Ayli, Eternal Pilgrim; replaced with Ayli, Eternal Pilgrim
952 Feldon of the Third Path; replaced with Feldon of the Third Path
2733 Cockatrice; replaced with Cockatrice
2474 Guardian Project; replaced with Guardian Project
249 Staff of Domination; replaced with Staff of Domination
1237 Thalia, Guardian of Thraben; replaced with Thalia, Guardian of Thraben
6299 Dreamroot Cascade; replaced with Dreamroot Cascade
3912 Hurkyl, Master Wizard; replaced with Hurkyl, Master Wizard
4112 Loxodon Warhammer; replaced with Loxodon Warhammer
3441 Magma Jet; replaced with Magma Jet
5627 Takklemaggot; replaced with Takklemaggot
5411 Assassin's Trophy; replaced with Assassin's Trophy
985 Giada, Font of Hope; replaced with Giada, Font of Hope
5074 Worldgorger Dragon; replaced with Worldgorger Dragon
4512 Adric, Mathematical Genius; replaced with Adric, Mathematical Genius
6226 Orcish Artillery; replaced with Orcish Artillery
6041 Champion's Helm; replaced with Champion's Helm
248 Soul-Guide Lantern; replaced with Soul-Guide Lantern
4993 Backdraft Hellkite; replaced with Backdraft Hellkite
3759 Gwenom, Remorseless; replaced with Gwenom, Remorseless
1279 Furycalm Snarl; replaced with Furycalm Snarl
3877 Mending Hands; replaced with Mending Hands
4843 Harrow; replaced with Harrow
4416 Valley Mightcaller; replaced with Valley Mightcaller
1717 Forgotten Ancient; replaced with Forgotten Ancient
832 Pip-Boy 3000; replaced with Pip-Boy 3000
1547 Vivid Grove; replaced with Vivid Grove
3077 Enduring Curiosity; replaced with Enduring Curiosity
24 Mana Confluence; replaced with Mana Confluence
5449 Arlinn Kord // Arlinn, Embraced by the Moon; replaced with Arlinn Kord // Arlinn, Embraced by the Moon
4736 Marsh Flats; replaced with Marsh Flats
1234 Beastmaster Ascension; replaced with Beastmaster Ascension
1421 Sakura-Tribe Elder; replaced with Sakura-Tribe Elder
2380 Polluted Mire; replaced with Polluted Mire
4733 Farewell; replaced with Farewell
1910 Huntmaster of the Fells // Ravager of the Fells; replaced with Huntmaster of the Fells // Ravager of the Fells
4738 Siphon Insight; replaced with Siphon Insight
1587 Eternal Witness; replaced with Eternal Witness
1614 Kormus Bell; replaced with Kormus Bell
6371 Inkmoth Nexus; replaced with Inkmoth Nexus
2742 Dragonskull Summit; replaced with Dragonskull Summit
4156 Smother; replaced with Smother
1591 Swords to Plowshares; replaced with Swords to Plowshares
3856 Three Tree City; replaced with Three Tree City
4375 Dragonspeaker Shaman; replaced with Dragonspeaker Shaman
5773 Rabid Wombat; replaced with Rabid Wombat
5897 Thraximundar; replaced with Thraximundar
6312 Skithiryx, the Blight Dragon; replaced with Skithiryx, the Blight Dragon
414 Flamewave Invoker; replaced with Flamewave Invoker
5556 Living Twister; replaced with Living Twister
2238 Caradora, Heart of Alacria; replaced with Caradora, Heart of Alacria
2439 Chameleon Colossus; replaced with Chameleon Colossus
2416 Ponder; replaced with Ponder
1562 Dirty Wererat; replaced with Dirty Wererat
3675 Ancient Silverback; replaced with Ancient Silverback
14 Warp Artifact; replaced with Warp Artifact
3258 Guardian Idol; replaced with Guardian Idol
271 Demolition Field; replaced with Demolition Field
3661 Cemetery Prowler; replaced with Cemetery Prowler
2689 Arcanis the Omnipotent; replaced with Arcanis the Omnipotent
982 Kirtar's Wrath; replaced with Kirtar's Wrath
4132 Nether Shadow; replaced with Nether Shadow
11 Eerie Interlude; replaced with Eerie Interlude
4841 Syr Vondam, Sunstar Exemplar; replaced with Syr Vondam, Sunstar Exemplar
6243 Delver of Secrets // Insectile Aberration; replaced with Delver of Secrets // Insectile Aberration
3298 Tunnel; replaced with Tunnel
2312 Nim Deathmantle; replaced with Nim Deathmantle
3006 Two-Headed Sliver; replaced with Two-Headed Sliver
5660 Secluded Courtyard; replaced with Secluded Courtyard
6601 Nomad Outpost; replaced with Nomad Outpost
6702 Arcades Sabboth; replaced with Arcades Sabboth
5789 Elvish Harbinger; replaced with Elvish Harbinger
977 Nature's Lore; replaced with Nature's Lore
1204 Scavenger Folk; replaced with Scavenger Folk
1862 Thriving Moor; replaced with Thriving Moor
6839 Vendilion Clique; replaced with Vendilion Clique
2887 Gorilla Chieftain; replaced with Gorilla Chieftain
6664 Jaheira, Friend of the Forest; replaced with Jaheira, Friend of the Forest
4766 Tithe Taker; replaced with Tithe Taker
647 Savannah Lions; replaced with Savannah Lions
4748 Archfiend of the Dross; replaced with Archfiend of the Dross
4945 Broodmate Dragon; replaced with Broodmate Dragon
3335 Cultivate; replaced with Cultivate
3194 Axebane Ferox; replaced with Axebane Ferox
1243 Temple of Malady; replaced with Temple of Malady
2990 Ancient Tomb; replaced with Ancient Tomb
5503 Loyal Retainers; replaced with Loyal Retainers
6594 Harrow; replaced with Harrow
6097 Emry, Lurker of the Loch; replaced with Emry, Lurker of the Loch
2198 Wood Elves; replaced with Wood Elves
2144 Sword of the Meek; replaced with Sword of the Meek
2359 Snapcaster Mage; replaced with Snapcaster Mage
6427 Repentant Blacksmith; replaced with Repentant Blacksmith
274 Talrand, Sky Summoner; replaced with Talrand, Sky Summoner
4167 Aether Vial; replaced with Aether Vial
1771 Niv-Mizzet Reborn; replaced with Niv-Mizzet Reborn
5316 Mirari's Wake; replaced with Mirari's Wake
779 Raging Ravine; replaced with Raging Ravine
6701 Dancing Sword; replaced with Dancing Sword
6867 Ponder; replaced with Ponder
2575 White Sun's Zenith; replaced with White Sun's Zenith
3892 Krovikan Sorcerer; replaced with Krovikan Sorcerer
3702 Sarkhan, Soul Aflame; replaced with Sarkhan, Soul Aflame
6531 Bonny Pall, Clearcutter; replaced with Bonny Pall, Clearcutter
733 Predator's Howl; replaced with Predator's Howl
3641 Urza's Mine; replaced with Urza's Mine
3541 Junji, the Midnight Sky; replaced with Junji, the Midnight Sky
5945 Lightning Bolt; replaced with Lightning Bolt
4254 Dismantling Blow; replaced with Dismantling Blow
4354 Black Cat, Cunning Thief; replaced with Black Cat, Cunning Thief
2436 Drannith Magistrate; replaced with Drannith Magistrate
1809 Buried Ruin; replaced with Buried Ruin
1076 Divine Visitation; replaced with Divine Visitation
5673 Storm of Saruman; replaced with Storm of Saruman
7334 Sun Titan; replaced with Sun Titan
1100 Kefka, Court Mage // Kefka, Ruler of Ruin; replaced with Kefka, Court Mage // Kefka, Ruler of Ruin
395 Plains; replaced with Plains
3984 Hunted Wumpus; replaced with Hunted Wumpus
736 Fireblast; replaced with Fireblast
3725 Uglúk of the White Hand; replaced with Uglúk of the White Hand
515 Forsaken Monument; replaced with Forsaken Monument
2004 Illuna, Apex of Wishes; replaced with Illuna, Apex of Wishes
205 Mana Flare; replaced with Mana Flare
5856 Collective Brutality; replaced with Collective Brutality
878 Snake Umbra; replaced with Snake Umbra
7419 Trading Post; replaced with Trading Post
5326 Dark Ritual; replaced with Dark Ritual
391 Death Ward; replaced with Death Ward
4832 Lightning Helix; replaced with Lightning Helix
7371 Impassioned Orator; replaced with Impassioned Orator
839 Fires of Yavimaya; replaced with Fires of Yavimaya
1799 Thirst for Knowledge; replaced with Thirst for Knowledge
5336 Dromoka's Command; replaced with Dromoka's Command
2685 Reverse Damage; replaced with Reverse Damage
6090 Celestial Unicorn; replaced with Celestial Unicorn
5211 Grixis Panorama; replaced with Grixis Panorama
1167 Forge Anew; replaced with Forge Anew
7533 Dawnsire, Sunstar Dreadnought; replaced with Dawnsire, Sunstar Dreadnought
5110 Gruul Signet; replaced with Gruul Signet
528 Sidisi, Brood Tyrant; replaced with Sidisi, Brood Tyrant
3163 Fire Lord Zuko; replaced with Fire Lord Zuko
4492 Luminarch Ascension; replaced with Luminarch Ascension
2620 Golgari Rot Farm; replaced with Golgari Rot Farm
4798 Crater's Claws; replaced with Crater's Claws
25 Staff of Titania; replaced with Staff of Titania
5643 Bolt Hound; replaced with Bolt Hound
6363 Runechanter's Pike; replaced with Runechanter's Pike
530 Myrel, Shield of Argive; replaced with Myrel, Shield of Argive
2780 Genesis Ultimatum; replaced with Genesis Ultimatum
7902 Marionette Apprentice; replaced with Marionette Apprentice
6223 Boomerang; replaced with Boomerang
1365 Semblance Anvil; replaced with Semblance Anvil
1647 Impact Tremors; replaced with Impact Tremors
2152 Lightning Strike; replaced with Lightning Strike
5406 Semester's End; replaced with Semester's End
5635 Worship; replaced with Worship
646 Darksteel Colossus // Darksteel Colossus; replaced with Darksteel Colossus // Darksteel Colossus
2361 Guardian of Faith; replaced with Guardian of Faith
3608 Kazarov, Sengir Pureblood; replaced with Kazarov, Sengir Pureblood
4454 Shalai, Voice of Plenty; replaced with Shalai, Voice of Plenty
4670 Crippling Fear; replaced with Crippling Fear
7692 Mana Flare; replaced with Mana Flare
6162 Gemrazer; replaced with Gemrazer
7969 Wall of Water; replaced with Wall of Water
6611 Ghostly Visit; replaced with Ghostly Visit
4556 Chandra, Pyromaster; replaced with Chandra, Pyromaster
7517 Armageddon; replaced with Armageddon
5633 Manaform Hellkite; replaced with Manaform Hellkite
1736 Rift Bolt; replaced with Rift Bolt
5701 Sengir Vampire; replaced with Sengir Vampire
3816 Pact of Negation; replaced with Pact of Negation
1762 Cloudsteel Kirin; replaced with Cloudsteel Kirin
1045 Thief of Blood; replaced with Thief of Blood
1116 Icefall Regent; replaced with Icefall Regent
1422 Birds of Paradise; replaced with Birds of Paradise
5028 Sol Ring; replaced with Sol Ring
3204 Threats Undetected; replaced with Threats Undetected
1485 Supreme Verdict; replaced with Supreme Verdict
4387 Serra Avenger; replaced with Serra Avenger
3736 Blasphemous Act; replaced with Blasphemous Act
1533 Nicol Bolas; replaced with Nicol Bolas
2114 Vanishing Verse; replaced with Vanishing Verse
7299 Satyr Wayfinder; replaced with Satyr Wayfinder
6804 Lyev Skyknight; replaced with Lyev Skyknight
7345 Akroma's Will; replaced with Akroma's Will
7669 Grand Abolisher; replaced with Grand Abolisher
4805 Jenny, Generated Anomaly; replaced with Jenny, Generated Anomaly
3497 Wose Pathfinder; replaced with Wose Pathfinder
7757 Viridescent Bog; replaced with Viridescent Bog
1719 Teferi's Ageless Insight; replaced with Teferi's Ageless Insight
8125 Abrade; replaced with Abrade
8193 Worship; replaced with Worship
3147 Endbringer; replaced with Endbringer
1603 Whirler Rogue; replaced with Whirler Rogue
1806 Oblivion Stone; replaced with Oblivion Stone
3375 Dion, Bahamut's Dominant // Bahamut, Warden of Light; replaced with Dion, Bahamut's Dominant // Bahamut, Warden of Light
3151 Shadowmage Infiltrator; replaced with Shadowmage Infiltrator
5569 Sephiroth, Fabled SOLDIER // Sephiroth, One-Winged Angel; replaced with Sephiroth, Fabled SOLDIER // Sephiroth, One-Winged Angel
6000 Prismatic Geoscope; replaced with Prismatic Geoscope
7827 Emeria Angel; replaced with Emeria Angel
2217 Natural Order; replaced with Natural Order
7926 Craterhoof Behemoth; replaced with Craterhoof Behemoth
3095 Siren's Call; replaced with Siren's Call
3438 Kinnan, Bonder Prodigy; replaced with Kinnan, Bonder Prodigy
2711 Cinder Glade; replaced with Cinder Glade
8233 Tooth and Nail; replaced with Tooth and Nail
2078 Scavenging Ooze; replaced with Scavenging Ooze
8546 Viridescent Bog; replaced with Viridescent Bog
8232 Oriq Loremage; replaced with Oriq Loremage
7308 Moria Scavenger; replaced with Moria Scavenger
2655 Karador, Ghost Chieftain; replaced with Karador, Ghost Chieftain
2698 Inspiring Call; replaced with Inspiring Call
6987 Desertion; replaced with Desertion
2815 Scathe Zombies; replaced with Scathe Zombies
3398 Heliod, Sun-Crowned; replaced with Heliod, Sun-Crowned
1858 Caves of Koilos; replaced with Caves of Koilos
6236 Llanowar Elves; replaced with Llanowar Elves
6467 Zur the Enchanter; replaced with Zur the Enchanter
6541 Gandalf, Friend of the Shire; replaced with Gandalf, Friend of the Shire
6772 Dragonskull Summit; replaced with Dragonskull Summit
2616 Ob Nixilis of the Black Oath; replaced with Ob Nixilis of the Black Oath
5910 Sylvan Library; replaced with Sylvan Library
2764 Wrath of God; replaced with Wrath of God
3818 Boros Charm; replaced with Boros Charm
8473 Whirlwind of Thought; replaced with Whirlwind of Thought
461 Tamiyo, Collector of Tales; replaced with Tamiyo, Collector of Tales
38 Mindslicer; replaced with Mindslicer
3823 Nyxbloom Ancient; replaced with Nyxbloom Ancient
7256 Relentless Rats; replaced with Relentless Rats
8947 Collected Company; replaced with Collected Company
4600 Windfall; replaced with Windfall
444 Silkguard; replaced with Silkguard
4333 Archangel of Tithes; replaced with Archangel of Tithes
8261 Turtles in Time; replaced with Turtles in Time
3158 Galerider Sliver; replaced with Galerider Sliver
2092 Flare of Malice; replaced with Flare of Malice
3627 Throne of Bone; replaced with Throne of Bone
6361 Bogardan Hellkite; replaced with Bogardan Hellkite
9008 Naturalize; replaced with Naturalize
2813 Furnace of Rath; replaced with Furnace of Rath
1721 Whir of Invention; replaced with Whir of Invention
5349 Arni Metalbrow; replaced with Arni Metalbrow
1652 Longbow Archer; replaced with Longbow Archer
2063 Shoulder to Shoulder; replaced with Shoulder to Shoulder
5269 Regal Caracal; replaced with Regal Caracal
3463 Syr Konrad, the Grim; replaced with Syr Konrad, the Grim
1656 Dakkon Blackblade; replaced with Dakkon Blackblade
6799 Containment Priest; replaced with Containment Priest
3477 Dryad Arbor; replaced with Dryad Arbor
5667 Orcish Settlers; replaced with Orcish Settlers
6827 Northern Paladin; replaced with Northern Paladin
129 Nashi, Moon Sage's Scion; replaced with Nashi, Moon Sage's Scion
5978 Tanglebloom; replaced with Tanglebloom
4818 Spire Garden; replaced with Spire Garden
3503 Animate Dead; replaced with Animate Dead
1685 Fleshbag Marauder; replaced with Fleshbag Marauder
3183 Keldon Warlord; replaced with Keldon Warlord
4576 Souls of the Lost; replaced with Souls of the Lost
5539 Stalking Stones; replaced with Stalking Stones
4677 Pacifism; replaced with Pacifism
8414 Gorilla Shaman; replaced with Gorilla Shaman
8572 Avarax; replaced with Avarax
1163 Hope Estheim; replaced with Hope Estheim
3622 The Rani; replaced with The Rani
4478 Goblin Warchief; replaced with Goblin Warchief
2767 Ethereal Champion; replaced with Ethereal Champion
8757 Prosperous Innkeeper; replaced with Prosperous Innkeeper
1494 Marina Vendrell's Grimoire; replaced with Marina Vendrell's Grimoire
317 Demonic Tutor; replaced with Demonic Tutor
562 Augur of Autumn; replaced with Augur of Autumn
7561 Lightning Bolt; replaced with Lightning Bolt
3614 Infernal Reckoning; replaced with Infernal Reckoning
8772 Fecundity; replaced with Fecundity
9185 Zodiac Monkey; replaced with Zodiac Monkey
1483 Assault // Battery; replaced with Assault // Battery
7768 Electrolyze; replaced with Electrolyze
2374 Spectacular Pileup; replaced with Spectacular Pileup
8305 Sunken Hollow; replaced with Sunken Hollow
3466 Raise the Past; replaced with Raise the Past
9485 Fireball; replaced with Fireball
2625 Cabaretti Charm; replaced with Cabaretti Charm
8939 Pilgrim's Eye; replaced with Pilgrim's Eye
2494 Tatyova, Benthic Druid; replaced with Tatyova, Benthic Druid
6006 Archpriest of Iona; replaced with Archpriest of Iona
1922 Urza's Tower; replaced with Urza's Tower
2639 Brokers Ascendancy; replaced with Brokers Ascendancy
6729 Misery's Shadow; replaced with Misery's Shadow
4799 Tannuk, Steadfast Second; replaced with Tannuk, Steadfast Second
7887 Phyrexian Tower; replaced with Phyrexian Tower
